"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"3","P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1"," 0.51",NA," 1.08",NA," 1.05"," 0.56",NA,NA,NA
"4","P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1;P31362;P70260;Q3U5D1",NA,NA," 6.03",NA,NA,NA,NA,NA,NA
"8","B7ZNM7;Q9Z2Q6;Q68FM0;Q52KH2"," 0.11","-0.08"," 0.21",NA,"-0.16",NA,NA,"  0.15",NA
"9","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131",NA,NA,NA,NA," 0.17",NA,NA,NA,NA
"10","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131"," 0.08",NA,NA,NA,NA,NA,NA,NA,NA
"11","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131",NA,NA,NA,NA,"-1.29",NA,NA,NA,NA
"12","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131","-0.23","-0.14","-0.27","-0.73","-1.66","-1.46"," -1.36"," -1.83","-1.35"
"13","Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131"," 0.29"," 0.11"," 0.03",NA,"-0.26","-0.10",NA," -0.32"," 0.29"
"16","Q8C650-2;Q8C650","-1.23",NA,NA,NA,NA,NA,NA,NA,NA
"17","Q5EBG8;A2A7Q3"," 2.98",NA,NA,NA,NA,NA,NA,NA,NA
"18","Q1AN92","-0.11",NA,NA,NA,NA,NA,NA,NA,NA
"19","A2BE20"," 1.89",NA,NA,NA,NA,NA,NA,NA,NA
"21","A2ART2;A3KQJ7;A2BE20"," 2.19",NA," 0.70",NA,NA,NA,NA,"  3.39"," 0.93"
"22","A2ART2;A3KQJ7;A2BE20",NA,NA," 0.28",NA,NA,NA,NA,"  3.10",NA
"24","Q6DI94-1;Q6DI94;Q8BYL8"," 0.03",NA,NA," 0.16"," 0.40",NA," -0.09",NA,NA
"25","Q6DI94-1;Q6DI94;Q8BYL8"," 0.03",NA,NA," 0.16"," 0.40",NA," -0.09",NA,NA
"26","Q6DI94-1;Q6DI94;Q8BYL8","-0.12",NA,NA,NA,NA,NA,"  0.37",NA,NA
"27","Q6DI94-1;Q6DI94;Q8BYL8","-0.12",NA,NA,NA,NA,NA,"  0.37",NA,NA
"28","Q6DI94-1;Q6DI94;Q8BYL8","-0.12",NA,NA,NA,NA,NA,"  0.37",NA,NA
"30","Q9CW83"," 4.26",NA,NA,NA,NA,NA,NA,NA,NA
"31","Q9D1A0;Q3TGK4;Q3TGU8;Q3UKU2"," 0.40",NA,NA,NA,NA,NA,NA,NA,NA
"32","Q8C5H8-3;Q8C5H8;Q14BL1;Q9CUB4;Q8C5H8-2;Q8C5H8-1","-0.19"," 0.00",NA,NA,NA,NA,NA,NA,NA
"33","Q6P3B9;Q3UKZ0",NA,NA,"-0.17",NA,NA,NA,NA,NA,NA
"37","Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2","-0.74",NA,"-0.18"," 0.17","-0.14"," 0.19","  0.30","  0.53"," 0.30"
"38","Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2","-0.82",NA,"-0.43"," 0.17"," 0.31"," 0.23","  0.30","  0.53",NA
"39","Q8CFK9;A2AIV2-1;A2AIV2",NA,NA,"-1.06",NA,NA,NA,NA,NA,NA
"41","Q8CFK9;A2AIV2-1;A2AIV2","-0.50",NA,NA,NA," 0.31",NA,NA,NA,NA
"42","Q8CFK9;A2AIV2-1;A2AIV2","-0.56","-0.11",NA," 0.46"," 0.30"," 0.13","  0.73","  0.03"," 0.11"
"43","Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2","-0.67","-0.26","-0.16"," 0.19"," 0.00"," 0.01"," -0.15","  0.22"," 0.17"
"46","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9"," 2.96",NA,NA,NA,NA,NA,NA,NA,NA
"47","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9"," 2.96",NA,NA,NA,NA,NA,NA,NA,NA
"50","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9",NA,NA,NA," 1.85",NA,NA,NA,NA,NA
"51","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9",NA,NA,NA," 1.85",NA,NA,NA,NA,NA
"52","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9","-0.15",NA,"-0.51",NA," 0.33",NA,NA,NA,NA
"53","Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9","-0.13"," 0.01",NA,NA," 0.37",NA," -0.39","  0.26",NA
"54","Q8C190-2;Q8C190;Q3U280;Q8C190-1;Q8VDI6",NA,NA,"-2.27",NA,NA,NA,NA,NA,NA
"57","Q14AR7;Q2NL54","-0.14",NA,"-1.43","-1.87"," 0.08",NA,NA,NA,NA
"58","Q14AR7;Q2NL54","-2.06",NA,NA,NA,"-2.74",NA," -2.07",NA,NA
"59","Q14AR7;Q2NL54",NA,NA,"-1.43","-1.87",NA,NA,NA,NA,NA
"63","Q14AA6;P62827;Q3ULW0"," 0.22",NA," 0.22",NA," 0.01","-0.21",NA," -0.34"," 0.06"
"64","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0","-0.38"," 0.12"," 0.91","-0.26","-0.05",NA,"  0.34",NA,NA
"65","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0","-0.14","-0.13",NA,NA," 0.10"," 0.24",NA,"  0.65",NA
"66","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0",NA,NA,NA,NA," 0.16"," 0.29",NA,NA,NA
"67","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0",NA," 0.05",NA," 0.49",NA,NA,NA,NA,NA
"68","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0","-0.16",NA,NA,NA," 0.10",NA,NA,"  0.65",NA
"71","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2","-0.19",NA,NA,NA,NA," 0.59",NA,NA,NA
"72","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2",NA,NA,NA,NA," 0.10",NA,NA,NA,NA
"73","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2"," 0.53"," 0.53",NA,NA,NA," 0.49",NA,NA,NA
"76","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2"," 0.43",NA,NA,NA,NA,NA,NA,NA,NA
"77","Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2","-0.53",NA,NA,NA," 0.07"," 0.02",NA,NA,NA
"78","Q8K207;Q3TJL3"," 0.48"," 0.24","-1.56",NA,NA,"-0.05",NA," -0.35"," 0.07"
"79","Q8K207;Q3TJL3"," 0.43","-0.34",NA,"-0.60",NA,NA,NA,NA,NA
"80","Q8K207;Q3TJL3","-0.74","-0.38","-3.93","-0.39","-0.61","-1.04"," -0.99"," -0.48","-0.39"
"85","Q9D1K7;A2ANS6;A2ANS5"," 3.18",NA,NA,NA,NA,NA,NA,NA,NA
"86","Q9D1K7;A2ANS6;A2ANS5;A2ANS7;Q6IR22","-0.06",NA,NA,NA,NA,NA,NA,NA,NA
"87","Q3V2K0;P67778;Q5SQG5;Q3TV00"," 0.06"," 0.28","-0.11","-0.33","-0.55",NA," -0.38",NA,"-0.03"
"88","Q9CVQ8",NA,NA,NA,"-2.27",NA,NA," -2.99"," -2.64",NA
"92","A2A4P5;A2A4P2",NA," 0.35"," 0.59",NA,NA,NA,NA,"  0.13","-0.05"
"93","A2A4P5;A2A4P2"," 0.49"," 0.35",NA,NA,"-0.38","-0.32",NA," -0.26",NA
"94","P58468;Q8C2N1;Q8C660",NA," 2.31",NA,NA," 1.39",NA,NA,NA,NA
"95","P58468;Q8C2N1;Q8C660;Q3TVF6","-0.12","-0.20"," 0.04","-0.35","-0.26","-0.04"," -0.68"," -0.32",NA
"96","P58468;Q8C2N1;Q8C660;Q3TVF6","-0.12","-0.20"," 0.04","-0.35","-0.26","-0.04"," -0.68"," -0.32",NA
"97","Q8C5K5-1;Q8C5K5;A2BDN9;Q8C5K5-2","-0.20",NA,NA,NA,NA,NA,NA,NA,NA
"98","Q8C5K5-1;Q8C5K5;A2BDN9;Q8C5K5-2","-0.01","-0.25"," 0.07","-0.34",NA,NA," -3.62"," -2.26",NA
"100","Q9CQ86;A2A556"," 0.69",NA,NA,NA,NA,NA,NA,NA,NA
"105","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9",NA,NA," 0.26",NA," 0.42"," 0.90",NA,NA,NA
"106","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9"," 0.75"," 0.54"," 0.63",NA," 1.04"," 0.59",NA,"  1.71","-0.32"
"107","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9",NA,NA," 0.73",NA,NA,NA,NA,NA,NA
"108","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9",NA,NA," 0.73",NA,NA,NA,NA,NA,NA
"109","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9"," 0.07",NA," 0.16",NA,NA,NA,NA,NA,NA
"110","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9",NA,NA,NA," 0.98",NA,NA,"  1.20",NA,NA
"111","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9"," 0.88"," 0.85"," 0.42"," 0.98"," 0.62"," 0.78","  1.20",NA," 1.02"
"112","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9"," 0.72",NA," 0.37",NA,NA,NA,NA,NA,"-0.56"
"113","Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9",NA,NA,NA,"-0.18",NA," 0.13","  0.00",NA,NA
"114","A2ANP1;B7ZWP1;A2ANP3;Q9D772;A2ANP2"," 0.09",NA,"-0.04"," 0.05","-0.18","-0.19","  0.02","  0.52",NA
"115","A2ANP1;B7ZWP1;A2ANP3;Q9D772;A2ANP2"," 0.09",NA,"-0.04"," 0.05"," 0.08","-0.19","  0.02","  0.52",NA
"116","A2ANP1;B7ZWP1;A2ANP3;Q9D772;A2ANP2"," 0.72",NA,NA,NA," 0.49"," 0.51",NA,NA,NA
"117","A7MCV4;Q8BPL8;Q99KA6;Q9D2Q2"," 0.46"," 1.12"," 1.07",NA,NA," 0.17",NA,"  1.92",NA
"118","Q3U3N6;B2RPS6;B1AXJ1;B1AXJ2"," 0.22","-0.38",NA,NA,"-0.17","-0.06",NA,NA,NA
"123","Q9CS00;A1L013","-0.16",NA,NA,NA,NA,NA,NA,NA,NA
"124","Q9CS00;A1L013",NA,"-0.40",NA,NA,NA,NA,NA,NA,NA
"125","Q9CS00;A1L013"," 0.04",NA,NA,NA,NA,NA,NA,NA,NA
"128","Q9CS00;A1L013","-0.66",NA,NA,NA," 0.16",NA,NA,NA,NA
"129","Q9CS00;A1L013",NA,NA,NA,NA,NA,NA," -0.07",NA,NA
"130","Q9CS00;A1L013",NA,NA,NA,NA,NA,NA," -0.07",NA,NA
"133","Q8C5P7-1;Q8C5P7;B7ZNJ7",NA,NA," 1.11",NA,NA,NA,NA,"  2.00",NA
"134","Q9D0B6-1;Q9D0B6;B1AUP4"," 0.10","-0.16",NA,"-0.16"," 0.04"," 0.00"," -0.01","  0.91"," 0.07"
"135","Q7TS79;Q91V83",NA,NA,"-0.30",NA," 0.45","-9.43",NA,NA,NA
"137","Q8K341-1;Q8K341;B8JJ73;Q8K341-2;B8JJ74;Q8K341-3;Q8K341-4;B8JJ76;Q8K341-5;B8JJ71"," 0.81"," 0.62"," 0.35"," 0.45","-0.70",NA,"  0.44","  0.49",NA
"140","Q8K341-1;Q8K341;B8JJ73;Q8K341-2;B8JJ74;Q8K341-3;Q8K341-4;B8JJ76;Q8K341-5;B8JJ71"," 0.36"," 0.68"," 0.35"," 0.45",NA,NA,"  0.64","  0.49",NA
"141","Q8BIX3-1;Q8BIX3;A2BHR4",NA,NA,NA,"-0.42","-0.73","-0.43"," -0.66",NA,NA
"142","Q8BIX3-1;Q8BIX3;A2BHR4",NA,NA,NA,"-0.42","-0.73","-0.43"," -0.66",NA,NA
"143","Q8R0X2-1;Q8R0X2;Q3TAW5;Q921D1"," 0.34",NA," 0.41",NA,NA,NA,NA,NA,NA
"144","Q8R0X2-1;Q8R0X2;Q3TAW5;Q921D1;Q8R0X2-2"," 1.25",NA,NA,NA,NA,NA,NA,NA,NA
"146","Q8CIL4;Q9CSU7;Q3TKJ9"," 3.89",NA," 2.36",NA,NA,NA,NA,NA,NA
"147","Q8CIL4;Q9CSU7;Q3TKJ9"," 3.89",NA," 2.36",NA,NA,NA,NA,NA,NA
"149","Q5PRE5;Q8R3E4","-0.80",NA,NA,NA,NA,NA,NA,NA,NA
"150","Q3TRT8"," 0.62",NA,NA,NA,NA,NA,NA,NA,NA
"151","Q99JH1;A2AMR8"," 0.54",NA,NA,NA,NA,NA,NA,NA,NA
"152","A2AN41"," 0.05",NA,NA,NA,NA,NA,NA,NA,NA
"153","Q6ZWQ9;Q922W7;Q9CXD2;Q9D6E6;Q3THE2;Q9CQ19;A2AVY6"," 0.63",NA,NA,NA,"-0.40",NA," -0.76",NA,NA
"154","Q6ZWQ9;Q922W7;Q9CXD2;Q9D6E6;Q3THE2;Q9CQ19;A2AVY6"," 0.58",NA,NA,NA,"-0.26",NA," -0.76",NA,NA
"156","Q9D722;Q3UT72"," 0.94",NA,NA,NA,NA,NA,NA," -0.99",NA
"157","Q9D722;Q3UT72;A2A478;Q5F2C2"," 0.15"," 0.32"," 0.19",NA,NA,NA,NA,NA," 0.48"
"158","Q9D722;Q3UT72;A2A478;Q5F2C2"," 0.15"," 0.32"," 0.19",NA,NA,NA,NA,NA," 0.48"
"160","P55194"," 0.60"," 0.67"," 0.36"," 0.56"," 0.75"," 0.56","  0.12","  0.61"," 0.68"
"164","P55194;A2A5V4;A2A5V2;A2A5V3"," 0.36"," 1.95","-0.06",NA," 0.01",NA,NA,NA,NA
"165","P55194;A2A5V4;A2A5V2;A2A5V3"," 0.29"," 0.06"," 0.15"," 0.14"," 0.04"," 0.19","  0.25"," -0.01"," 0.36"
"169","P55194;A2A5V4"," 3.97"," 3.62"," 2.35",NA,NA,NA,NA,NA," 3.53"
"170","Q06649;Q3U1H0;Q3UD40;Q8C220;Q91Z52;Q5U3L0"," 0.71",NA,NA,NA,NA,NA,NA,NA,NA
"171","Q06649;Q3U1H0;Q3UD40;Q8C220;Q91Z52;Q5U3L0",NA,NA,NA,NA,"-0.09",NA,NA,NA,NA
"173","Q06649;Q3U1H0;Q3UD40;Q8C220;Q91Z52;Q5U3L0","-0.06","-0.17","-0.05","-0.03","-0.10","-0.14"," -0.26"," -0.16",NA
"174","P24668;Q3UF03;Q3UKQ5","-0.09","-0.09","-0.08","-0.21","-0.02","-0.07"," -0.88","  0.15","-0.28"
"175","Q9D4Z7;Q8BI22-1;Q8BI22;B7ZNX8",NA,NA,NA,NA,"-0.46",NA,NA,NA,NA
"178","Q9D2F9","-0.19",NA,NA,NA,NA,NA,NA,NA,NA
"179","Q9D2F9","-0.19",NA,NA,NA,NA,NA,NA,NA,NA
"182","Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1"," 0.48",NA,NA," 1.38",NA,NA," -1.55",NA,NA
"183","Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1"," 0.48",NA,NA," 1.38",NA,NA,NA,NA,NA
"184","Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1",NA,NA,NA," 1.07",NA,NA,NA,"  1.66",NA
"187","Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1",NA,NA,NA,NA," 0.62",NA,NA,NA,NA
"188","Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1"," 0.00"," 0.28","-0.25",NA,"-0.02","-0.19",NA,NA," 0.37"
"189","Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1","-0.06"," 0.09","-0.47",NA," 0.22"," 0.18","  0.06","  0.14"," 0.22"
"190","P58659-1;P58659;P58659-2;P58659-3;B2RXT2;Q8CAX0"," 1.93",NA,NA,NA,NA,NA,NA,NA,NA
"191","Q8K2W9;Q3TR30","-0.56",NA,NA,NA,NA,NA,NA,NA,NA
"192","Q8K2W9;Q3TR30","-1.13",NA,NA,NA," 0.05",NA,NA,NA,NA
"195","Q8K2W9;Q3TR30",NA,"-0.02","-1.19",NA,NA,NA,NA,NA," 0.48"
"196","A2AAD0","-0.49",NA,"-0.25",NA,"-1.65","-0.76",NA," -0.97","-0.59"
"197","Q8QZV7;B2KG23;B2KG22",NA,NA,"-0.15",NA,NA,NA,NA,"  0.25",NA
"198","Q8QZV7;B2KG23;B2KG22","-0.71"," 0.09","-0.29"," 1.65"," 0.30"," 0.27",NA,"  0.35"," 0.22"
"199","Q8QZV7;B2KG23","-0.26",NA,"-0.67",NA,NA,NA,NA,NA,NA
"200","A6QRF1;Q8C913",NA,NA,NA,NA," 0.14",NA,NA,NA,NA
"201","Q1LZ54;Q3T9W6;Q8BP78","-0.13",NA,NA,NA,"-0.57"," 0.09",NA,NA,NA
"202","Q1LZ54;Q3T9W6;Q8BP78"," 0.49","-0.17"," 0.02","-0.01"," 0.12","-0.16"," -0.24","  0.69","-0.28"
"203","Q1LZ54;Q3T9W6;Q8BP78",NA,"-0.80",NA,NA,NA,NA,NA,NA,NA
"204","Q1LZ54;Q3T9W6;Q8BP78"," 0.28",NA,NA,NA,NA,NA,NA,NA,NA
"205","Q1LZ54;Q3T9W6;Q8BP78"," 0.15"," 0.27","-0.06","-0.41"," 0.19","-0.03"," -0.04"," -0.08",NA
"206","Q1LZ54;Q3T9W6"," 0.17"," 0.13"," 0.31","-0.15","-0.11","-0.03"," -0.23"," -0.55"," 0.29"
"207","Q1LZ54;Q3T9W6","-0.14","-0.61"," 1.25","-0.33","-0.20","-0.23"," -0.23"," -0.40"," 0.29"
"208","Q1LZ54;Q3T9W6",NA,"-0.03",NA,"-0.11",NA,NA," -0.05",NA,NA
"209","Q1LZ54;Q3T9W6;Q8BP78"," 0.02","-0.09"," 0.02","-0.01"," 0.27"," 0.02"," -0.24","  0.11","-0.06"
"210","Q9CYI0;A0PJK9;Q3TUY5"," 0.05"," 0.02"," 0.63"," 0.00"," 0.17","-0.03"," -0.23","  0.62"," 0.31"
"211","Q9CYI0;A0PJK9;Q3TUY5"," 0.05"," 0.00","-0.24","-0.68"," 0.29"," 0.12"," -0.54"," -0.40",NA
"212","Q9CYI0;A0PJK9;Q3TUY5"," 0.23",NA," 0.23","-0.32","-0.12"," 0.11"," -0.43",NA,NA
"214","Q9CYI0;A0PJK9;Q3TUY5;B1AQG3"," 0.13","-0.19","-0.02"," 0.18",NA,NA,"  0.20"," -0.13","-0.10"
"216","Q3U125;Q9CYH2"," 0.46",NA,NA,NA,NA,NA,NA,NA,NA
"217","Q3U125;Q9CYH2","-0.17",NA,NA,NA,NA,"-0.01",NA,NA,NA
"218","Q8CIB6;A2AMQ1","-0.22","-0.68","-1.09","-0.25","-1.45","-1.11"," -0.42"," -0.53","-1.37"
"219","Q8CIB6;A2AMQ1","-0.22","-0.49","-0.82",NA,"-2.07",NA,"  0.16"," -0.67"," 1.57"
"220","Q3TUU0;Q3USG8;Q8VDY9","-0.63","-0.06","-0.04",NA," 0.37","-0.12","  0.48"," -0.05","-0.16"
"221","Q3TUU0;Q3USG8;Q8VDY9","-0.32","-0.06","-0.01"," 0.05"," 0.30",NA,"  0.48"," -0.08",NA
"222","Q3TUU0;Q3USG8;Q8VDY9","-1.60",NA," 4.11",NA,NA,NA,NA,NA," 3.47"
"223","Q3TUU0;Q3USG8;Q8VDY9","-1.60",NA," 4.11",NA,NA,NA,NA,"  1.21"," 3.47"
"224","Q3TUU0;Q3USG8;Q8VDY9","-1.60",NA,NA,NA,NA,NA,NA,"  1.21"," 3.47"
"226","Q3TUU0;Q3USG8;Q8VDY9",NA,NA," 0.88",NA,NA,NA,NA,NA,NA
"227","Q8BP27;Q3TI03;Q3TJK0;Q3TH62",NA,NA,NA," 0.16","-0.09",NA,NA,NA,NA
"228","Q8BP27;Q3TI03;Q3TJK0;Q3TH62","-0.27",NA,NA," 0.16",NA,NA,NA,NA,NA
"232","Q8BP27;Q3TI03;Q3TJK0"," 0.37"," 0.80"," 3.90"," 0.58"," 0.44"," 1.09","  1.03","  1.69"," 2.40"
"233","Q8BP27;Q3TI03;Q3TJK0"," 0.36",NA," 1.09",NA,NA,NA,NA,"  0.96",NA
"237","Q8BP27;Q3TI03;Q3TJK0;Q3TH62","-0.41","-0.51","-0.81","-1.33","-0.86","-0.86"," -0.90"," -0.92","-1.16"
"238","Q8BP27;Q3TI03;Q3TJK0;Q3TH62"," 0.23"," 0.30"," 0.33"," 0.22"," 0.17"," 0.13","  0.18","  0.23"," 0.23"
"239","Q8BP27;Q3TI03;Q3TJK0;Q3TH62","-0.01"," 0.09"," 0.13","-0.24"," 0.02","-0.05","  0.09","  0.10","-0.06"
"240","Q8BP27;Q3TI03;Q3TJK0;Q3TH62"," 0.21"," 0.28"," 0.39"," 0.17"," 0.20",NA,"  0.17","  0.23"," 0.23"
"241","Q8BP27;Q3TI03;Q3TJK0","-0.24"," 0.00",NA," 0.38"," 0.36",NA,"  0.53","  0.51"," 0.56"
"243","Q8BH50-1;Q8BH50;Q0VAW6;Q19SD0;Q8BH50-2"," 1.56"," 1.49"," 1.33"," 0.97",NA," 0.54","  1.10","  1.23","-1.48"
"244","Q8BH50-1;Q8BH50;Q0VAW6;Q19SD0;Q8BH50-2;Q19SC5"," 1.59"," 4.02"," 0.72"," 3.71"," 2.56"," 2.73","  3.41",NA," 4.36"
"245","Q8BH50-1;Q8BH50;Q0VAW6;Q19SD0;Q8BH50-2;Q19SC5"," 0.50"," 0.28"," 0.75"," 0.06"," 0.33"," 0.19","  0.30"," -0.15","-0.08"
"246","Q8BH50-1;Q8BH50;Q0VAW6;Q19SD0;Q8BH50-2;Q19SC5"," 0.51"," 1.37"," 1.81"," 0.48"," 0.12","-0.34","  0.50",NA,NA
"250","Q8BH50-1;Q8BH50;Q0VAW6;Q19SD0;Q8BH50-2"," 1.37"," 1.08"," 1.13"," 1.29"," 0.89"," 0.88","  1.07","  1.50"," 0.86"
"251","Q8BH50-1;Q8BH50;Q0VAW6;Q19SD0;Q8BH50-2","-0.14",NA,"-0.28","-1.19","-0.17","-1.00"," -1.59"," -1.63"," 0.41"
"254","Q8BH50-1;Q8BH50;Q0VAW6;Q19SD0;Q8BH50-2"," 0.89"," 0.80"," 0.63",NA,NA,NA,NA,"  0.10",NA
"255","B2RQE8",NA,NA,NA,NA,"-4.33","-4.73",NA,NA,NA
"256","B2RQE8",NA,NA,NA,NA,NA,NA,NA," -1.21",NA
"257","B2RQE8",NA,NA,NA,NA,NA,NA,NA," -1.21",NA
"258","B2RQE8",NA,NA,NA,NA,NA,NA,NA," -0.86",NA
"259","B2RQE8",NA,NA,NA,NA,NA,NA,NA," -0.86",NA
"260","B2RQE8",NA,NA,NA,NA,NA,NA,NA," -1.21",NA
"261","B2RQE8",NA,NA,NA,NA,"-0.72",NA,NA,NA,NA
"262","B2RQE8",NA,NA,NA,NA,"-0.72",NA,NA,NA,NA
"277","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47","-0.09",NA,NA,NA,"-0.30"," 0.10",NA,NA,NA
"278","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47","-0.28"," 0.44"," 0.66",NA," 0.18","-0.12",NA,NA,NA
"279","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47",NA,NA,NA," 0.03","-0.06",NA,"  0.08"," -0.10",NA
"280","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47",NA,NA,NA," 0.03","-0.06",NA,"  0.08"," -0.10",NA
"283","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47",NA,NA," 0.66",NA,NA,NA,NA,NA,NA
"284","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47",NA,NA," 0.66",NA,NA,NA,NA,NA,NA
"285","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47",NA,NA," 0.66",NA,NA,NA,NA,NA,NA
"286","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47"," 1.29",NA,NA,NA," 2.33",NA,NA,NA,NA
"287","A2ACV6;Q69ZW6;Q8CBB8;Q8CD47"," 0.26",NA," 0.12","-1.57"," 0.07"," 0.42",NA,"  0.02",NA
"294","Q64337-1;Q64337;Q64337-2"," 0.15"," 0.30",NA,NA," 0.12",NA,NA,NA,NA
"295","Q64337-1;Q64337;Q64337-2"," 0.13"," 0.08"," 0.56"," 0.38"," 0.54"," 0.49","  0.46","  0.34"," 0.56"
"296","Q64337-1;Q64337;Q64337-2"," 0.75"," 0.89"," 1.01"," 0.30"," 1.36"," 0.45","  0.33","  0.40"," 0.41"
"297","Q64337-1;Q64337;Q64337-2",NA,NA,NA," 0.38",NA,NA,NA,NA,NA
"306","Q64337-1;Q64337;Q64337-2","-0.29","-0.02","-0.88","-0.15","-0.08"," 0.20"," -0.53","  0.16",NA
"307","Q64337-1;Q64337;Q64337-2","-0.21",NA,NA,NA,"-0.94",NA,NA,NA,NA
"308","Q64337-1;Q64337;Q64337-2","-0.50",NA,NA,"-0.04",NA,NA," -0.11"," -0.05",NA
"309","Q64337-1;Q64337;Q64337-2"," 0.24",NA,NA,"-0.05",NA,NA," -0.05"," -0.05",NA
"313","Q64337-1;Q64337",NA,NA,NA,NA," 0.07",NA," -0.18",NA,NA
"314","Q64337-1;Q64337","-0.29",NA,NA,"-0.85","-0.49","-0.64"," -0.80",NA,NA
"315","Q64337-1;Q64337"," 0.50",NA,NA,"-0.85","-0.36","-0.64"," -0.80",NA,NA
"316","Q64337-1;Q64337;Q64337-2"," 0.29"," 0.05",NA," 0.18",NA,"-0.39","  0.20","  0.26"," 0.29"
"317","Q64337-1;Q64337","-0.29",NA,NA,"-0.85","-0.31",NA," -0.99",NA,NA
"318","Q64337-1;Q64337;Q64337-2"," 0.65"," 0.95"," 0.56",NA," 0.54"," 0.04"," -0.10","  0.26"," 0.29"
"319","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.27",NA," 0.02",NA,"-1.35","-0.22",NA,NA,NA
"320","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7"," 0.39",NA,NA,NA," 1.32"," 0.26",NA,NA,NA
"321","Q7TQH0-2;Q7TQH0;Q7TQH0-3;Q7TQH0-1;Q3TGG2;Q3TYH7","-0.12"," 0.05",NA,NA,"-0.23"," 0.14",NA,"  0.16",NA
