"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"14553","Q3UCQ1-1;Q3UCQ1;B5AZX0;Q3UCQ1-2;Q811H2"," 0.52",NA,"-1.92","-2.32",NA,NA," -2.62"," -2.34",NA
"14555","Q3UCQ1-1;Q3UCQ1;B5AZX0;Q3UCQ1-2;Q811H2","-0.36",NA,NA,NA,NA,NA,NA,NA,NA
"14558","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0",NA,NA," 2.92",NA,NA,NA,NA,NA,NA
"14559","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0"," 0.75"," 0.48","-0.04"," 0.81"," 0.56"," 0.63","  0.77","  0.53"," 0.48"
"14561","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0"," 2.03"," 0.58"," 0.90",NA,NA,NA,NA,NA,NA
"14562","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0",NA,NA," 0.73",NA,NA,NA,NA,NA,NA
"14563","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0",NA," 0.58"," 1.12",NA,NA,NA,NA,NA,NA
"14566","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0"," 1.96",NA,NA,NA,NA,NA,NA,NA,NA
"14568","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0"," 1.20",NA,NA,NA,NA,"-1.69",NA,NA,NA
"14570","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0",NA,NA,NA,NA,NA," 0.37",NA,NA,NA
"14571","Q8BPP2;Q8BRS7;Q8CA93;Q9JJW4;Q9WVH5;Q9R1E0",NA,NA,NA,NA," 0.50",NA,NA,NA,NA
"14579","Q9DBY0-1;Q9DBY0;Q9DBY0-3;Q9DBY0-2"," 1.26"," 2.28"," 1.86",NA," 1.39",NA,NA,NA,NA
"14582","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1"," 2.02",NA," 2.77"," 2.55","-0.56",NA,"  2.64",NA,"-0.63"
"14583","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1","-1.47","-1.71","-1.46",NA,"-3.15","-1.66"," -1.13"," -2.26","-2.31"
"14584","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1"," 2.02"," 1.56"," 2.14"," 2.87"," 2.15",NA,"  2.48",NA,NA
"14585","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1","-1.69","-2.33",NA,NA,NA,NA," -1.13"," -2.30","-2.16"
"14592","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1"," 0.37",NA,NA,NA,NA,NA,NA,NA,NA
"14596","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1",NA,NA,NA," 2.55",NA,NA,"  2.61",NA,NA
"14597","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1"," 1.41"," 2.30"," 1.61"," 2.04"," 1.83"," 1.63",NA,"  2.56"," 2.32"
"14598","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1"," 0.58"," 0.72"," 0.50"," 2.03"," 0.33"," 0.43","  2.13","  2.27"," 2.20"
"14599","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1"," 0.96"," 1.69"," 1.00"," 2.03"," 0.29"," 0.79","  2.13","  2.18"," 0.95"
"14601","Q9JLN9-1;Q9JLN9;Q2KHT0;Q3T9E1"," 1.41"," 3.49"," 3.07",NA," 1.64"," 1.86",NA,NA," 2.00"
"14603","P70339;B2RU64",NA,NA," 0.13",NA,NA,NA,NA,NA,NA
"14604","P70339;B2RU64",NA,NA," 0.13",NA,NA,NA,NA,NA,NA
"14606","Q8BIE6-2;Q8BIE6;Q3TB04;Q8BIE6-1","-0.70",NA,NA,NA,NA,NA,NA,NA,NA
"14607","Q8C0V9-1;Q8C0V9;Q8C0V9-2;Q8C0V9-3"," 0.47",NA,NA,NA,NA,NA,NA," -0.33",NA
"14608","Q8C0V9-1;Q8C0V9;Q8C0V9-2"," 0.49","-0.11"," 0.45"," 0.07","-0.39","-0.14"," -0.09"," -0.61",NA
