Uniprot ID,TC Exp1 20min (log2),TC Exp2 20min (log2),TC Exp3 20min (log2),LY Exp1 Insulin/Starved (log2),LY Exp2 Insulin/Starved (log2),LY Exp3 Insulin/Starved (log2),MK Exp1 Insulin/Starved (log2),MK Exp2 Insulin/Starved (log2),MK Exp3 Insulin/Starved (log2)
Q7M732;B4YB44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q7M732;B4YB44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1,0.51,NaN,1.08,NaN,1.05,0.56,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1;P31362;P70260;Q3U5D1,NaN,NaN,6.03,NaN,NaN,NaN,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25425-12;P25425;P25425-1;P25425-5;P25425-6;P25425-2;P25425-4;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-10;Q7TSC9;Q8C4C1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B7ZNM7;Q9Z2Q6;Q68FM0;Q52KH2,0.11,-0.08,0.21,NaN,-0.16,NaN,NaN,0.15,NaN
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,NaN,NaN,NaN,NaN,0.17,NaN,NaN,NaN,NaN
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,NaN,NaN,NaN,NaN,-1.29,NaN,NaN,NaN,NaN
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,-0.23,-0.14,-0.27,-0.73,-1.66,-1.46,-1.36,-1.83,-1.35
Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3;O55131,0.29,0.11,0.03,NaN,-0.26,-0.10,NaN,-0.32,0.29
Q8C650-2;Q8C650;Q8C650-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8C650-2;Q8C650;Q8C650-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8C650-2;Q8C650,-1.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5EBG8;A2A7Q3,2.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q1AN92,-0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2BE20,1.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2BE20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2ART2;A3KQJ7;A2BE20,2.19,NaN,0.70,NaN,NaN,NaN,NaN,3.39,0.93
A2ART2;A3KQJ7;A2BE20,NaN,NaN,0.28,NaN,NaN,NaN,NaN,3.10,NaN
A2ART2;A3KQJ7;A2BE20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6DI94-1;Q6DI94;Q8BYL8,0.03,NaN,NaN,0.16,0.40,NaN,-0.09,NaN,NaN
Q6DI94-1;Q6DI94;Q8BYL8,0.03,NaN,NaN,0.16,0.40,NaN,-0.09,NaN,NaN
Q6DI94-1;Q6DI94;Q8BYL8,-0.12,NaN,NaN,NaN,NaN,NaN,0.37,NaN,NaN
Q6DI94-1;Q6DI94;Q8BYL8,-0.12,NaN,NaN,NaN,NaN,NaN,0.37,NaN,NaN
Q6DI94-1;Q6DI94;Q8BYL8,-0.12,NaN,NaN,NaN,NaN,NaN,0.37,NaN,NaN
Q9DCT6-1;Q9DCT6;A2CF78;Q9DCT6-2;A2CF81;A2CF76;A2CF79;A2CF75;Q9DCT6-3;A2CF77;Q9DCT6-4;A2CF82;A2CF83;A2CF80;A2CF74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CW83,4.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D1A0;Q3TGK4;Q3TGU8;Q3UKU2,0.40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8C5H8-3;Q8C5H8;Q14BL1;Q9CUB4;Q8C5H8-2;Q8C5H8-1,-0.19,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6P3B9;Q3UKZ0,NaN,NaN,-0.17,NaN,NaN,NaN,NaN,NaN,NaN
Q6P3B9;Q3UKZ0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6P3B9;Q3UKZ0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6P3B9;Q3UKZ0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2,-0.74,NaN,-0.18,0.17,-0.14,0.19,0.30,0.53,0.30
Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2,-0.82,NaN,-0.43,0.17,0.31,0.23,0.30,0.53,NaN
Q8CFK9;A2AIV2-1;A2AIV2,NaN,NaN,-1.06,NaN,NaN,NaN,NaN,NaN,NaN
Q8CFK9;A2AIV2-1;A2AIV2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8CFK9;A2AIV2-1;A2AIV2,-0.50,NaN,NaN,NaN,0.31,NaN,NaN,NaN,NaN
Q8CFK9;A2AIV2-1;A2AIV2,-0.56,-0.11,NaN,0.46,0.30,0.13,0.73,0.03,0.11
Q8CFK9;A2AIV2-1;A2AIV2;A2AIV2-2,-0.67,-0.26,-0.16,0.19,0.00,0.01,-0.15,0.22,0.17
Q8K039;Q571N2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K039;Q571N2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9,2.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9,2.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9,NaN,NaN,NaN,1.85,NaN,NaN,NaN,NaN,NaN
Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9,NaN,NaN,NaN,1.85,NaN,NaN,NaN,NaN,NaN
Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9,-0.15,NaN,-0.51,NaN,0.33,NaN,NaN,NaN,NaN
Q8BZR9-1;Q8BZR9;B2KG93;Q3TLD7;Q7TPS9,-0.13,0.01,NaN,NaN,0.37,NaN,-0.39,0.26,NaN
Q8C190-2;Q8C190;Q3U280;Q8C190-1;Q8VDI6,NaN,NaN,-2.27,NaN,NaN,NaN,NaN,NaN,NaN
Q9D6I9;A2A8F6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D6I9;A2A8F6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q14AR7;Q2NL54,-0.14,NaN,-1.43,-1.87,0.08,NaN,NaN,NaN,NaN
Q14AR7;Q2NL54,-2.06,NaN,NaN,NaN,-2.74,NaN,-2.07,NaN,NaN
Q14AR7;Q2NL54,NaN,NaN,-1.43,-1.87,NaN,NaN,NaN,NaN,NaN
Q14AR7;Q2NL54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2NTK5;A2NTK6;P97484;Q8K4V6;Q8R2Z1;O54999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2NTK5;A2NTK6;P97484;Q8K4V6;Q8R2Z1;O54999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q14AA6;P62827;Q3ULW0,0.22,NaN,0.22,NaN,0.01,-0.21,NaN,-0.34,0.06
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0,-0.38,0.12,0.91,-0.26,-0.05,NaN,0.34,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0,-0.14,-0.13,NaN,NaN,0.10,0.24,NaN,0.65,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0,NaN,NaN,NaN,NaN,0.16,0.29,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0,NaN,0.05,NaN,0.49,NaN,NaN,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0,-0.16,NaN,NaN,NaN,0.10,NaN,NaN,0.65,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q8BNT0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2,-0.19,NaN,NaN,NaN,NaN,0.59,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2,NaN,NaN,NaN,NaN,0.10,NaN,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2,0.53,0.53,NaN,NaN,NaN,0.49,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TEI4-1;Q3TEI4;A0PJL0;B9EKK8;Q3TEI4-2,-0.53,NaN,NaN,NaN,0.07,0.02,NaN,NaN,NaN
Q8K207;Q3TJL3,0.48,0.24,-1.56,NaN,NaN,-0.05,NaN,-0.35,0.07
Q8K207;Q3TJL3,0.43,-0.34,NaN,-0.60,NaN,NaN,NaN,NaN,NaN
Q8K207;Q3TJL3,-0.74,-0.38,-3.93,-0.39,-0.61,-1.04,-0.99,-0.48,-0.39
Q922C1;Q9CVT9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q922C1;Q9CVT9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q922C1;Q9CVT9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q922C1;Q9CVT9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D1K7;A2ANS6;A2ANS5,3.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D1K7;A2ANS6;A2ANS5;A2ANS7;Q6IR22,-0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3V2K0;P67778;Q5SQG5;Q3TV00,0.06,0.28,-0.11,-0.33,-0.55,NaN,-0.38,NaN,-0.03
Q9CVQ8,NaN,NaN,NaN,-2.27,NaN,NaN,-2.99,-2.64,NaN
Q9D9C3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RUL0;Q9D9A7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RUL0;Q9D9A7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2A4P5;A2A4P2,NaN,0.35,0.59,NaN,NaN,NaN,NaN,0.13,-0.05
A2A4P5;A2A4P2,0.49,0.35,NaN,NaN,-0.38,-0.32,NaN,-0.26,NaN
P58468;Q8C2N1;Q8C660,NaN,2.31,NaN,NaN,1.39,NaN,NaN,NaN,NaN
P58468;Q8C2N1;Q8C660;Q3TVF6,-0.12,-0.20,0.04,-0.35,-0.26,-0.04,-0.68,-0.32,NaN
P58468;Q8C2N1;Q8C660;Q3TVF6,-0.12,-0.20,0.04,-0.35,-0.26,-0.04,-0.68,-0.32,NaN
Q8C5K5-1;Q8C5K5;A2BDN9;Q8C5K5-2,-0.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8C5K5-1;Q8C5K5;A2BDN9;Q8C5K5-2,-0.01,-0.25,0.07,-0.34,NaN,NaN,-3.62,-2.26,NaN
Q9D127;Q8C6G1;Q91Z02;Q3U699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CQ86;A2A556,0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2AI51;Q9CPY9;Q9CVG0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2AI51;Q9CPY9;Q9CVG0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2AI51;Q9CPY9;Q9CVG0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2AI51;Q9CPY9;Q9CVG0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,NaN,NaN,0.26,NaN,0.42,0.90,NaN,NaN,NaN
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,0.75,0.54,0.63,NaN,1.04,0.59,NaN,1.71,-0.32
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,NaN,NaN,0.73,NaN,NaN,NaN,NaN,NaN,NaN
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,NaN,NaN,0.73,NaN,NaN,NaN,NaN,NaN,NaN
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,0.07,NaN,0.16,NaN,NaN,NaN,NaN,NaN,NaN
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,NaN,NaN,NaN,0.98,NaN,NaN,1.20,NaN,NaN
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,0.88,0.85,0.42,0.98,0.62,0.78,1.20,NaN,1.02
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,0.72,NaN,0.37,NaN,NaN,NaN,NaN,NaN,-0.56
Q8BQ30-2;Q8BQ30;B2RWV7;B7ZND7;Q8BQ30-1;Q3U3A9,NaN,NaN,NaN,-0.18,NaN,0.13,0.00,NaN,NaN
A2ANP1;B7ZWP1;A2ANP3;Q9D772;A2ANP2,0.09,NaN,-0.04,0.05,-0.18,-0.19,0.02,0.52,NaN
A2ANP1;B7ZWP1;A2ANP3;Q9D772;A2ANP2,0.09,NaN,-0.04,0.05,0.08,-0.19,0.02,0.52,NaN
A2ANP1;B7ZWP1;A2ANP3;Q9D772;A2ANP2,0.72,NaN,NaN,NaN,0.49,0.51,NaN,NaN,NaN
A7MCV4;Q8BPL8;Q99KA6;Q9D2Q2,0.46,1.12,1.07,NaN,NaN,0.17,NaN,1.92,NaN
Q3U3N6;B2RPS6;B1AXJ1;B1AXJ2,0.22,-0.38,NaN,NaN,-0.17,-0.06,NaN,NaN,NaN
Q8R1H4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,-0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,NaN,-0.40,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CS00;A1L013,-0.66,NaN,NaN,NaN,0.16,NaN,NaN,NaN,NaN
Q9CS00;A1L013,NaN,NaN,NaN,NaN,NaN,NaN,-0.07,NaN,NaN
Q9CS00;A1L013,NaN,NaN,NaN,NaN,NaN,NaN,-0.07,NaN,NaN
Q8C5P7-1;Q8C5P7;B7ZNJ7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8C5P7-1;Q8C5P7;B7ZNJ7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8C5P7-1;Q8C5P7;B7ZNJ7,NaN,NaN,1.11,NaN,NaN,NaN,NaN,2.00,NaN
Q9D0B6-1;Q9D0B6;B1AUP4,0.10,-0.16,NaN,-0.16,0.04,0.00,-0.01,0.91,0.07
Q7TS79;Q91V83,NaN,NaN,-0.30,NaN,0.45,-9.43,NaN,NaN,NaN
Q7TS79;Q91V83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K341-1;Q8K341;B8JJ73;Q8K341-2;B8JJ74;Q8K341-3;Q8K341-4;B8JJ76;Q8K341-5;B8JJ71,0.81,0.62,0.35,0.45,-0.70,NaN,0.44,0.49,NaN
Q8K341-1;Q8K341;B8JJ73;Q8K341-2;B8JJ74;Q8K341-3;Q8K341-4;B8JJ76;Q8K341-5;B8JJ71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K341-1;Q8K341;B8JJ73;Q8K341-2;B8JJ74;Q8K341-3;Q8K341-4;B8JJ76;Q8K341-5;B8JJ71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K341-1;Q8K341;B8JJ73;Q8K341-2;B8JJ74;Q8K341-3;Q8K341-4;B8JJ76;Q8K341-5;B8JJ71,0.36,0.68,0.35,0.45,NaN,NaN,0.64,0.49,NaN
Q8BIX3-1;Q8BIX3;A2BHR4,NaN,NaN,NaN,-0.42,-0.73,-0.43,-0.66,NaN,NaN
Q8BIX3-1;Q8BIX3;A2BHR4,NaN,NaN,NaN,-0.42,-0.73,-0.43,-0.66,NaN,NaN
Q8R0X2-1;Q8R0X2;Q3TAW5;Q921D1,0.34,NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN
Q8R0X2-1;Q8R0X2;Q3TAW5;Q921D1;Q8R0X2-2,1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8CIL4;Q9CSU7;Q3TKJ9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8CIL4;Q9CSU7;Q3TKJ9,3.89,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN
Q8CIL4;Q9CSU7;Q3TKJ9,3.89,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN
Q8CIL4;Q9CSU7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5PRE5;Q8R3E4,-0.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TRT8,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99JH1;A2AMR8,0.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2AN41,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6ZWQ9;Q922W7;Q9CXD2;Q9D6E6;Q3THE2;Q9CQ19;A2AVY6,0.63,NaN,NaN,NaN,-0.40,NaN,-0.76,NaN,NaN
Q6ZWQ9;Q922W7;Q9CXD2;Q9D6E6;Q3THE2;Q9CQ19;A2AVY6,0.58,NaN,NaN,NaN,-0.26,NaN,-0.76,NaN,NaN
Q9D722;Q3UT72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D722;Q3UT72,0.94,NaN,NaN,NaN,NaN,NaN,NaN,-0.99,NaN
Q9D722;Q3UT72;A2A478;Q5F2C2,0.15,0.32,0.19,NaN,NaN,NaN,NaN,NaN,0.48
Q9D722;Q3UT72;A2A478;Q5F2C2,0.15,0.32,0.19,NaN,NaN,NaN,NaN,NaN,0.48
P55194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P55194,0.60,0.67,0.36,0.56,0.75,0.56,0.12,0.61,0.68
P55194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P55194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P55194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P55194;A2A5V4;A2A5V2;A2A5V3,0.36,1.95,-0.06,NaN,0.01,NaN,NaN,NaN,NaN
P55194;A2A5V4;A2A5V2;A2A5V3,0.29,0.06,0.15,0.14,0.04,0.19,0.25,-0.01,0.36
P55194;A2A5V4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P55194;A2A5V4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P55194;A2A5V4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P55194;A2A5V4,3.97,3.62,2.35,NaN,NaN,NaN,NaN,NaN,3.53
Q06649;Q3U1H0;Q3UD40;Q8C220;Q91Z52;Q5U3L0,0.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q06649;Q3U1H0;Q3UD40;Q8C220;Q91Z52;Q5U3L0,NaN,NaN,NaN,NaN,-0.09,NaN,NaN,NaN,NaN
Q06649;Q3U1H0;Q3UD40;Q8C220;Q91Z52;Q5U3L0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q06649;Q3U1H0;Q3UD40;Q8C220;Q91Z52;Q5U3L0,-0.06,-0.17,-0.05,-0.03,-0.10,-0.14,-0.26,-0.16,NaN
P24668;Q3UF03;Q3UKQ5,-0.09,-0.09,-0.08,-0.21,-0.02,-0.07,-0.88,0.15,-0.28
Q9D4Z7;Q8BI22-1;Q8BI22;B7ZNX8,NaN,NaN,NaN,NaN,-0.46,NaN,NaN,NaN,NaN
Q9D4Z7;Q8BI22-1;Q8BI22;B7ZNX8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D4Z7;Q8BI22-1;Q8BI22;B7ZNX8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D2F9,-0.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D2F9,-0.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,0.48,NaN,NaN,1.38,NaN,NaN,-1.55,NaN,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,0.48,NaN,NaN,1.38,NaN,NaN,NaN,NaN,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,NaN,NaN,NaN,1.07,NaN,NaN,NaN,1.66,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,NaN,NaN,NaN,NaN,0.62,NaN,NaN,NaN,NaN
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,0.00,0.28,-0.25,NaN,-0.02,-0.19,NaN,NaN,0.37
Q3TDH2;Q6PAL5;Q6ZQD1;Q8C5X1,-0.06,0.09,-0.47,NaN,0.22,0.18,0.06,0.14,0.22
P58659-1;P58659;P58659-2;P58659-3;B2RXT2;Q8CAX0,1.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K2W9;Q3TR30,-0.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K2W9;Q3TR30,-1.13,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN
Q8K2W9;Q3TR30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K2W9;Q3TR30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K2W9;Q3TR30,NaN,-0.02,-1.19,NaN,NaN,NaN,NaN,NaN,0.48
A2AAD0,-0.49,NaN,-0.25,NaN,-1.65,-0.76,NaN,-0.97,-0.59
Q8QZV7;B2KG23;B2KG22,NaN,NaN,-0.15,NaN,NaN,NaN,NaN,0.25,NaN
Q8QZV7;B2KG23;B2KG22,-0.71,0.09,-0.29,1.65,0.30,0.27,NaN,0.35,0.22
Q8QZV7;B2KG23,-0.26,NaN,-0.67,NaN,NaN,NaN,NaN,NaN,NaN
A6QRF1;Q8C913,NaN,NaN,NaN,NaN,0.14,NaN,NaN,NaN,NaN
Q1LZ54;Q3T9W6;Q8BP78,-0.13,NaN,NaN,NaN,-0.57,0.09,NaN,NaN,NaN
Q1LZ54;Q3T9W6;Q8BP78,0.49,-0.17,0.02,-0.01,0.12,-0.16,-0.24,0.69,-0.28
Q1LZ54;Q3T9W6;Q8BP78,NaN,-0.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q1LZ54;Q3T9W6;Q8BP78,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q1LZ54;Q3T9W6;Q8BP78,0.15,0.27,-0.06,-0.41,0.19,-0.03,-0.04,-0.08,NaN
Q1LZ54;Q3T9W6,0.17,0.13,0.31,-0.15,-0.11,-0.03,-0.23,-0.55,0.29
Q1LZ54;Q3T9W6,-0.14,-0.61,1.25,-0.33,-0.20,-0.23,-0.23,-0.40,0.29
Q1LZ54;Q3T9W6,NaN,-0.03,NaN,-0.11,NaN,NaN,-0.05,NaN,NaN
Q1LZ54;Q3T9W6;Q8BP78,0.02,-0.09,0.02,-0.01,0.27,0.02,-0.24,0.11,-0.06
Q9CYI0;A0PJK9;Q3TUY5,0.05,0.02,0.63,0.00,0.17,-0.03,-0.23,0.62,0.31
Q9CYI0;A0PJK9;Q3TUY5,0.05,0.00,-0.24,-0.68,0.29,0.12,-0.54,-0.40,NaN
Q9CYI0;A0PJK9;Q3TUY5,0.23,NaN,0.23,-0.32,-0.12,0.11,-0.43,NaN,NaN
