Uniprot ID,TC Exp1 20min (log2),TC Exp2 20min (log2),TC Exp3 20min (log2),LY Exp1 Insulin/Starved (log2),LY Exp2 Insulin/Starved (log2),LY Exp3 Insulin/Starved (log2),MK Exp1 Insulin/Starved (log2),MK Exp2 Insulin/Starved (log2),MK Exp3 Insulin/Starved (log2)
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,1.07,1.15,1.22,0.97,1.51,1.42,1.66,NaN,1.05
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,NaN,NaN,0.94,0.13,NaN,NaN,NaN,NaN,NaN
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,NaN,NaN,0.04,NaN,NaN,NaN,NaN,NaN,NaN
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,NaN,NaN,NaN,1.17,NaN,NaN,NaN,NaN,NaN
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,0.44,2.08,1.22,1.22,0.91,0.87,1.25,NaN,1.07
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,0.33,NaN,NaN,-0.14,-0.73,NaN,1.25,NaN,1.07
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,-0.08,NaN,NaN,NaN,0.67,0.17,NaN,NaN,NaN
Q8K2Y9-1;Q8K2Y9;Q3TM53;Q8K2Y9-2,0.36,-0.14,-0.04,NaN,1.56,1.21,NaN,0.75,NaN
P30280;Q4FK45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P30282;Q3TSW4;Q3TWY0,-0.24,NaN,NaN,NaN,-0.59,NaN,NaN,NaN,NaN
P30282;Q3TSW4;Q3TWY0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P30282;Q3TSW4;Q3TWY0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P30282;Q3TSW4;Q3TWY0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P30282;Q3TSW4;Q3TWY0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P30282;Q3TSW4;Q3TWY0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P30282;Q3TSW4;Q3TWY0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P30282;Q3TSW4;Q3TWY0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RS11;Q61457;A0JLN2,2.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RS11;Q61457;A0JLN2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RS11;Q61457;A0JLN2,1.73,1.44,1.99,1.39,0.92,1.38,1.65,NaN,1.70
B2RS11;Q61457;A0JLN2,-0.29,-0.26,1.99,NaN,-0.43,-0.29,1.65,NaN,1.70
Q3U3M5;O88874;Q3TV37;Q3U3H2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3U3M5;O88874;Q3TV37;Q3U3H2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3U3M5;O88874;Q3TV37;Q3U3H2,-0.19,-0.43,-0.03,0.31,-0.01,0.36,0.13,0.00,NaN
Q3U3M5;O88874;Q3TV37;Q3U3H2,-1.77,0.01,-0.03,0.31,0.29,0.30,0.13,-1.86,0.46
Q3U3M5;O88874;Q3TV37;Q3U3H2,-0.37,0.03,-0.37,-0.60,0.24,0.21,NaN,0.31,0.43
Q3U3M5;O88874;Q3TV37;Q3U3H2,-0.26,NaN,-0.15,NaN,NaN,NaN,NaN,NaN,NaN
Q3U3M5;O88874;Q3TV37;Q3U3H2,-0.35,0.00,0.06,0.17,NaN,NaN,0.11,0.17,NaN
